2025-03-16 23:12:08,974 INFO    Thread-7 (_run_job):3188953 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-16 23:12:08,975 INFO    Thread-7 (_run_job):3188953 [wandb_setup.py:_flush():67] Configure stats pid to 3188953
2025-03-16 23:12:08,975 INFO    Thread-7 (_run_job):3188953 [wandb_setup.py:_flush():67] Loading settings from /speech/akshaya/.config/wandb/settings
2025-03-16 23:12:08,975 INFO    Thread-7 (_run_job):3188953 [wandb_setup.py:_flush():67] Loading settings from /speech/akshaya/zDA6401/for_confusion/wandb/settings
2025-03-16 23:12:08,975 INFO    Thread-7 (_run_job):3188953 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-16 23:12:08,975 INFO    Thread-7 (_run_job):3188953 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /speech/akshaya/zDA6401/for_confusion/wandb/run-20250316_231208-h736sciq/logs/debug.log
2025-03-16 23:12:08,975 INFO    Thread-7 (_run_job):3188953 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /speech/akshaya/zDA6401/for_confusion/wandb/run-20250316_231208-h736sciq/logs/debug-internal.log
2025-03-16 23:12:08,975 INFO    Thread-7 (_run_job):3188953 [wandb_init.py:init():761] calling init triggers
2025-03-16 23:12:08,975 INFO    Thread-7 (_run_job):3188953 [wandb_init.py:init():766] wandb.init called with sweep_config: {'activation': 'sigmoid', 'batch_size': 32, 'epochs': 5, 'hidden_size': 32, 'learning_rate': 0.01, 'loss': 'cross_entropy', 'num_layers': 5, 'optimizer': 'adam', 'weight_decay': 0, 'weight_init': 'xavier'}
config: {'_wandb': {}}
2025-03-16 23:12:08,975 INFO    Thread-7 (_run_job):3188953 [wandb_init.py:init():784] starting backend
2025-03-16 23:12:08,975 INFO    Thread-7 (_run_job):3188953 [wandb_init.py:init():788] sending inform_init request
2025-03-16 23:12:08,976 INFO    Thread-7 (_run_job):3188953 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-03-16 23:12:08,976 INFO    Thread-7 (_run_job):3188953 [wandb_init.py:init():798] backend started and connected
2025-03-16 23:12:08,977 INFO    Thread-7 (_run_job):3188953 [wandb_run.py:_config_callback():1261] config_cb None None {'activation': 'sigmoid', 'batch_size': 32, 'epochs': 5, 'hidden_size': 32, 'learning_rate': 0.01, 'loss': 'cross_entropy', 'num_layers': 5, 'optimizer': 'adam', 'weight_decay': 0, 'weight_init': 'xavier'}
2025-03-16 23:12:08,981 INFO    Thread-7 (_run_job):3188953 [wandb_init.py:init():891] updated telemetry
2025-03-16 23:12:08,982 INFO    Thread-7 (_run_job):3188953 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-16 23:12:09,561 INFO    Thread-7 (_run_job):3188953 [wandb_init.py:init():990] starting run threads in backend
2025-03-16 23:12:09,645 INFO    Thread-7 (_run_job):3188953 [wandb_run.py:_console_start():2375] atexit reg
2025-03-16 23:12:09,646 INFO    Thread-7 (_run_job):3188953 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-16 23:12:09,646 INFO    Thread-7 (_run_job):3188953 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-16 23:12:09,646 INFO    Thread-7 (_run_job):3188953 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-16 23:12:09,647 INFO    Thread-7 (_run_job):3188953 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-16 23:12:09,996 INFO    Thread-7 (_run_job):3188953 [wandb_run.py:_finish():2112] finishing run ns24z274-iitm-ac-in/Assign1_Fmnist/h736sciq
2025-03-16 23:12:09,996 INFO    Thread-7 (_run_job):3188953 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-03-16 23:12:09,997 INFO    Thread-7 (_run_job):3188953 [wandb_run.py:_restore():2322] restore
2025-03-16 23:12:09,997 INFO    Thread-7 (_run_job):3188953 [wandb_run.py:_restore():2328] restore done
2025-03-16 23:12:11,646 INFO    Thread-7 (_run_job):3188953 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-03-16 23:12:11,647 INFO    Thread-7 (_run_job):3188953 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-03-16 23:12:11,647 INFO    Thread-7 (_run_job):3188953 [wandb_run.py:_footer_sync_info():3917] logging synced files
